Time,Pressure,Temperature,TiltX,TiltY
1,1013.25,20,0.05,0.1
2,1012.8,20.5,0.07,0.12
3,1012.5,21,0.1,0.15
4,1012.2,21.5,0.12,0.18
5,1012,22,0.14,0.2
6,1011.8,22.5,0.16,0.22
7,1011.6,23,0.18,0.25
8,1011.4,23.5,0.2,0.28
9,1011.2,24,0.22,0.3
10,1011,24.5,0.24,0.32
11,1010.8,25,0.26,0.35
12,1010.6,25.5,0.28,0.38
13,1010.4,26,0.3,0.4
14,1010.2,26.5,0.32,0.42
15,1010,27,0.34,0.45
16,1009.8,27.5,0.36,0.48
17,1009.6,28,0.38,0.5
18,1009.4,28.5,0.4,0.52
19,1009.2,29,0.42,0.55
20,1009,29.5,0.44,0.58
21,1008.8,30,0.46,0.6
22,1008.6,30.5,0.48,0.62
23,1008.4,31,0.5,0.65
24,1008.2,31.5,0.52,0.68
25,1008,32,0.54,0.7
26,1007.8,32.5,0.56,0.72
27,1007.6,33,0.58,0.75
28,1007.4,33.5,0.6,0.78
29,1007.2,34,0.62,0.8
30,1007,34.5,0.64,0.82
